customer_id,trans_date,tran_amount,response,month,month_name,month_year,cohort,tx_month,cohort_index
CS3508,2012-05-23,67,0,5,May,2012-05,2011-06,2012-05,11
CS2703,2014-10-12,40,1,10,October,2014-10,2011-06,2014-10,40
CS2596,2013-05-01,76,0,5,May,2013-05,2011-07,2013-05,22
CS5990,2012-10-19,103,0,10,October,2012-10,2011-05,2012-10,17
CS4215,2011-07-09,54,0,7,July,2011-07,2011-07,2011-07,0
CS4811,2012-01-26,77,1,1,January,2012-01,2011-07,2012-01,6
CS2070,2013-01-30,41,0,1,January,2013-01,2011-06,2013-01,19
CS3419,2015-01-29,38,0,1,January,2015-01,2011-07,2015-01,42
CS3668,2014-08-14,102,0,8,August,2014-08,2011-09,2014-08,35
CS4623,2013-09-27,89,1,9,September,2013-09,2011-06,2013-09,27
CS4708,2013-07-02,48,0,7,July,2013-07,2011-07,2013-07,24
CS1816,2013-09-22,64,0,9,September,2013-09,2011-06,2013-09,27
CS5376,2013-12-08,44,0,12,December,2013-12,2011-12,2013-12,24
CS4568,2011-11-15,70,0,11,November,2011-11,2011-07,2011-11,4
CS1779,2012-01-27,53,0,1,January,2012-01,2011-06,2012-01,7
CS2447,2011-07-10,82,0,7,July,2011-07,2011-07,2011-07,0
CS1985,2011-08-16,87,0,8,August,2011-08,2011-05,2011-08,3
CS2544,2011-11-07,64,0,11,November,2011-11,2011-08,2011-11,3
CS2158,2012-09-11,89,0,9,September,2012-09,2011-06,2012-09,15
CS5776,2014-09-09,87,0,9,September,2014-09,2011-11,2014-09,34
CS5653,2013-09-04,98,0,9,September,2013-09,2011-06,2013-09,27
CS2291,2014-10-15,67,0,10,October,2014-10,2011-06,2014-10,40
CS6088,2012-10-29,48,0,10,October,2012-10,2011-08,2012-10,14
CS4245,2014-06-02,102,0,6,June,2014-06,2011-06,2014-06,36
CS3344,2014-07-02,56,0,7,July,2014-07,2011-07,2014-07,36
CS1481,2013-12-23,50,0,12,December,2013-12,2011-06,2013-12,30
CS5400,2011-12-23,56,0,12,December,2011-12,2011-12,2011-12,0
CS5463,2014-08-27,91,0,8,August,2014-08,2011-05,2014-08,39
CS5951,2014-08-07,104,1,8,August,2014-08,2011-06,2014-08,38
CS5515,2012-02-19,41,0,2,February,2012-02,2011-07,2012-02,7
CS3039,2012-05-01,92,0,5,May,2012-05,2011-07,2012-05,10
CS1836,2012-03-24,63,0,3,March,2012-03,2011-08,2012-03,7
CS4320,2014-04-09,52,1,4,April,2014-04,2011-05,2014-04,35
CS4889,2011-12-01,38,0,12,December,2011-12,2011-05,2011-12,7
CS1319,2011-09-26,95,0,9,September,2011-09,2011-09,2011-09,0
CS4859,2015-01-07,50,1,1,January,2015-01,2011-07,2015-01,42
CS4148,2014-02-08,40,0,2,February,2014-02,2011-07,2014-02,31
CS5264,2013-04-03,81,0,4,April,2013-04,2011-08,2013-04,20
CS4041,2014-12-29,49,0,12,December,2014-12,2011-06,2014-12,42
CS2183,2013-01-04,39,0,1,January,2013-01,2012-01,2013-01,12
CS2516,2015-02-15,55,0,2,February,2015-02,2011-05,2015-02,45
CS1890,2012-11-03,37,0,11,November,2012-11,2011-09,2012-11,14
CS3730,2013-02-11,89,1,2,February,2013-02,2011-06,2013-02,20
CS5382,2013-03-07,48,1,3,March,2013-03,2011-08,2013-03,19
CS5970,2014-06-13,40,0,6,June,2014-06,2011-07,2014-06,35
CS5260,2015-01-30,46,1,1,January,2015-01,2011-07,2015-01,42
CS2437,2011-11-13,90,0,11,November,2011-11,2011-08,2011-11,3
CS4675,2011-09-11,67,0,9,September,2011-09,2011-06,2011-09,3
CS2920,2011-10-11,87,0,10,October,2011-10,2011-07,2011-10,3
CS2548,2013-09-28,73,1,9,September,2013-09,2011-05,2013-09,28
CS1818,2011-12-26,46,0,12,December,2011-12,2011-09,2011-12,3
CS6098,2012-09-28,42,1,9,September,2012-09,2011-10,2012-09,11
CS2712,2011-12-26,65,0,12,December,2011-12,2011-05,2011-12,7
CS2714,2011-12-14,69,0,12,December,2011-12,2011-12,2011-12,0
CS2615,2013-08-17,39,0,8,August,2013-08,2011-07,2013-08,25
CS5445,2014-07-27,72,0,7,July,2014-07,2011-05,2014-07,38
CS5812,2014-11-02,62,0,11,November,2014-11,2011-05,2014-11,42
CS4636,2013-09-22,66,0,9,September,2013-09,2011-06,2013-09,27
CS3147,2014-06-04,84,1,6,June,2014-06,2011-07,2014-06,35
CS1273,2012-02-01,91,0,2,February,2012-02,2011-08,2012-02,6
CS4243,2011-11-11,48,0,11,November,2011-11,2011-07,2011-11,4
CS2357,2012-04-13,71,0,4,April,2012-04,2011-07,2012-04,9
CS1776,2014-05-03,79,0,5,May,2014-05,2011-05,2014-05,36
CS5643,2013-03-02,104,0,3,March,2013-03,2011-06,2013-03,21
CS4522,2015-03-06,82,0,3,March,2015-03,2011-09,2015-03,42
CS2418,2015-02-01,51,0,2,February,2015-02,2011-09,2015-02,41
CS1330,2014-11-21,41,0,11,November,2014-11,2011-08,2014-11,39
CS1195,2014-12-29,83,0,12,December,2014-12,2011-09,2014-12,39
CS4306,2015-03-07,54,0,3,March,2015-03,2011-10,2015-03,41
CS2137,2013-09-29,73,0,9,September,2013-09,2011-09,2013-09,24
CS3518,2013-06-19,54,0,6,June,2013-06,2011-07,2013-06,23
CS5835,2011-09-18,52,1,9,September,2011-09,2011-08,2011-09,1
CS4701,2015-01-15,95,0,1,January,2015-01,2011-07,2015-01,42
CS4548,2012-06-28,38,0,6,June,2012-06,2011-05,2012-06,13
CS2384,2012-10-15,35,0,10,October,2012-10,2011-07,2012-10,15
CS4081,2013-02-17,74,0,2,February,2013-02,2011-08,2013-02,18
CS5976,2012-01-02,99,0,1,January,2012-01,2011-05,2012-01,8
CS3874,2011-09-08,44,0,9,September,2011-09,2011-07,2011-09,2
CS5356,2014-06-17,105,1,6,June,2014-06,2011-05,2014-06,37
CS4667,2014-09-17,66,0,9,September,2014-09,2011-07,2014-09,38
CS4328,2012-06-04,56,0,6,June,2012-06,2011-07,2012-06,11
CS3291,2013-08-02,42,0,8,August,2013-08,2011-07,2013-08,25
CS4282,2011-09-11,44,0,9,September,2011-09,2011-06,2011-09,3
CS4331,2011-09-25,70,0,9,September,2011-09,2011-06,2011-09,3
CS1243,2013-03-17,36,0,3,March,2013-03,2011-10,2013-03,17
CS2390,2014-05-20,104,0,5,May,2014-05,2011-07,2014-05,34
CS2207,2014-04-05,71,0,4,April,2014-04,2011-07,2014-04,33
CS1270,2011-11-18,104,0,11,November,2011-11,2011-05,2011-11,6
CS1219,2014-11-11,91,0,11,November,2014-11,2011-11,2014-11,36
CS5427,2012-11-13,96,1,11,November,2012-11,2011-07,2012-11,16
CS5474,2011-05-18,69,0,5,May,2011-05,2011-05,2011-05,0
CS5109,2012-05-23,92,0,5,May,2012-05,2011-06,2012-05,11
CS5287,2015-03-14,94,0,3,March,2015-03,2011-05,2015-03,46
CS3477,2013-05-05,80,0,5,May,2013-05,2011-07,2013-05,22
CS3970,2011-12-13,86,0,12,December,2011-12,2011-08,2011-12,4
CS5760,2011-12-08,59,0,12,December,2011-12,2011-08,2011-12,4
CS2149,2013-04-04,83,0,4,April,2013-04,2011-06,2013-04,22
CS4934,2014-07-19,80,1,7,July,2014-07,2011-05,2014-07,38
CS1517,2013-10-18,89,0,10,October,2013-10,2011-06,2013-10,28
CS1641,2012-12-29,64,0,12,December,2012-12,2011-07,2012-12,17
CS2187,2011-11-19,70,0,11,November,2011-11,2011-05,2011-11,6
CS5359,2014-08-12,96,0,8,August,2014-08,2011-07,2014-08,37
CS3124,2011-12-08,71,0,12,December,2011-12,2011-07,2011-12,5
CS1721,2012-08-30,96,0,8,August,2012-08,2011-06,2012-08,14
CS5212,2015-01-22,42,0,1,January,2015-01,2011-07,2015-01,42
CS5111,2011-08-23,81,1,8,August,2011-08,2011-06,2011-08,2
CS3137,2012-04-04,67,0,4,April,2012-04,2011-10,2012-04,6
CS1511,2015-01-25,69,0,1,January,2015-01,2011-05,2015-01,44
CS2509,2014-02-23,92,0,2,February,2014-02,2011-12,2014-02,26
CS5994,2014-01-11,42,0,1,January,2014-01,2011-06,2014-01,31
CS2613,2013-08-25,103,0,8,August,2013-08,2011-07,2013-08,25
CS1934,2014-08-18,89,0,8,August,2014-08,2011-06,2014-08,38
CS3127,2011-10-02,39,0,10,October,2011-10,2011-06,2011-10,4
CS5225,2014-03-18,104,1,3,March,2014-03,2011-08,2014-03,31
CS1815,2012-11-17,83,0,11,November,2012-11,2011-05,2012-11,18
CS3552,2014-04-27,102,0,4,April,2014-04,2012-06,2014-04,22
CS1893,2013-11-17,42,0,11,November,2013-11,2011-07,2013-11,28
CS3621,2013-10-26,56,0,10,October,2013-10,2011-07,2013-10,27
CS4330,2013-07-17,59,0,7,July,2013-07,2011-06,2013-07,25
CS4991,2013-07-20,90,0,7,July,2013-07,2011-06,2013-07,25
CS2312,2013-10-22,37,0,10,October,2013-10,2011-07,2013-10,27
CS2359,2012-06-04,90,1,6,June,2012-06,2011-08,2012-06,10
CS4798,2012-12-06,84,1,12,December,2012-12,2011-07,2012-12,17
CS2507,2012-06-28,94,0,6,June,2012-06,2011-09,2012-06,9
CS1430,2014-09-02,71,0,9,September,2014-09,2011-07,2014-09,38
CS3787,2013-10-23,48,0,10,October,2013-10,2011-07,2013-10,27
CS4103,2013-04-14,89,0,4,April,2013-04,2011-05,2013-04,23
CS2881,2012-09-24,54,0,9,September,2012-09,2011-06,2012-09,15
CS1854,2011-09-29,74,0,9,September,2011-09,2011-06,2011-09,3
CS2863,2012-12-23,102,0,12,December,2012-12,2011-08,2012-12,16
CS5292,2013-09-04,64,1,9,September,2013-09,2011-06,2013-09,27
CS3184,2012-01-07,88,0,1,January,2012-01,2011-06,2012-01,7
CS2049,2013-10-07,66,0,10,October,2013-10,2011-05,2013-10,29
CS2832,2013-07-16,105,0,7,July,2013-07,2011-05,2013-07,26
CS2251,2013-04-12,99,0,4,April,2013-04,2011-05,2013-04,23
CS5667,2014-02-25,66,0,2,February,2014-02,2011-06,2014-02,32
CS1327,2012-02-19,38,0,2,February,2012-02,2011-12,2012-02,2
CS4927,2013-08-12,37,0,8,August,2013-08,2011-07,2013-08,25
CS2302,2012-09-09,100,0,9,September,2012-09,2011-06,2012-09,15
CS3901,2012-09-11,82,0,9,September,2012-09,2011-05,2012-09,16
CS5762,2013-04-21,85,0,4,April,2013-04,2011-05,2013-04,23
CS2289,2012-03-13,89,0,3,March,2012-03,2011-09,2012-03,6
CS2867,2012-02-09,56,1,2,February,2012-02,2011-05,2012-02,9
CS2359,2014-08-10,87,1,8,August,2014-08,2011-08,2014-08,36
CS5814,2011-12-12,72,1,12,December,2011-12,2011-12,2011-12,0
CS5129,2011-06-21,102,0,6,June,2011-06,2011-06,2011-06,0
CS2597,2012-06-03,42,0,6,June,2012-06,2011-08,2012-06,10
CS5838,2012-09-01,96,0,9,September,2012-09,2011-07,2012-09,14
CS5800,2012-04-23,86,0,4,April,2012-04,2011-05,2012-04,11
CS3786,2013-07-16,66,0,7,July,2013-07,2011-08,2013-07,23
CS3659,2012-05-19,77,0,5,May,2012-05,2011-07,2012-05,10
CS4400,2011-09-03,97,0,9,September,2011-09,2011-08,2011-09,1
CS3026,2012-06-03,55,0,6,June,2012-06,2011-07,2012-06,11
CS3632,2013-02-10,72,0,2,February,2013-02,2011-06,2013-02,20
CS1452,2012-03-23,79,0,3,March,2012-03,2011-06,2012-03,9
CS5140,2014-07-11,97,0,7,July,2014-07,2011-12,2014-07,31
CS5383,2013-12-29,73,0,12,December,2013-12,2011-07,2013-12,29
CS4695,2013-09-17,48,0,9,September,2013-09,2011-09,2013-09,24
CS2368,2012-08-10,66,0,8,August,2012-08,2011-07,2012-08,13
CS2066,2011-07-15,51,0,7,July,2011-07,2011-07,2011-07,0
CS5277,2011-07-12,90,1,7,July,2011-07,2011-07,2011-07,0
CS3025,2011-12-30,72,1,12,December,2011-12,2011-12,2011-12,0
CS4802,2011-06-25,45,0,6,June,2011-06,2011-06,2011-06,0
CS6001,2014-02-16,63,0,2,February,2014-02,2011-06,2014-02,32
CS3981,2014-09-20,74,0,9,September,2014-09,2011-07,2014-09,38
CS3885,2014-04-29,56,0,4,April,2014-04,2011-05,2014-04,35
CS5546,2012-08-28,79,0,8,August,2012-08,2011-06,2012-08,14
CS4964,2014-05-20,79,0,5,May,2014-05,2011-08,2014-05,33
CS4881,2014-01-21,55,0,1,January,2014-01,2011-09,2014-01,28
CS4103,2014-03-02,40,0,3,March,2014-03,2011-05,2014-03,34
CS5884,2012-12-19,97,0,12,December,2012-12,2011-07,2012-12,17
CS2765,2013-04-18,88,0,4,April,2013-04,2011-08,2013-04,20
CS4438,2014-07-05,72,1,7,July,2014-07,2011-05,2014-07,38
CS2234,2014-12-21,36,0,12,December,2014-12,2011-12,2014-12,36
CS3015,2014-01-30,58,0,1,January,2014-01,2011-08,2014-01,29
CS3755,2015-01-01,45,0,1,January,2015-01,2011-05,2015-01,44
CS3927,2014-03-25,77,1,3,March,2014-03,2011-10,2014-03,29
CS5799,2012-11-08,101,0,11,November,2012-11,2011-07,2012-11,16
CS5708,2011-06-03,89,0,6,June,2011-06,2011-06,2011-06,0
CS3695,2013-04-20,51,0,4,April,2013-04,2011-06,2013-04,22
CS1969,2014-10-23,39,0,10,October,2014-10,2011-08,2014-10,38
CS3854,2014-11-09,104,1,11,November,2014-11,2011-05,2014-11,42
CS3416,2015-02-23,57,0,2,February,2015-02,2011-06,2015-02,44
CS1414,2013-12-01,104,0,12,December,2013-12,2011-05,2013-12,31
CS4732,2013-03-27,96,0,3,March,2013-03,2011-07,2013-03,20
CS2493,2012-12-29,85,0,12,December,2012-12,2011-05,2012-12,19
CS5851,2013-01-19,98,0,1,January,2013-01,2011-07,2013-01,18
CS1678,2014-05-09,48,0,5,May,2014-05,2011-08,2014-05,33
CS2049,2013-03-19,36,0,3,March,2013-03,2011-05,2013-03,22
CS3676,2011-09-27,43,0,9,September,2011-09,2011-05,2011-09,4
CS4853,2012-03-27,68,0,3,March,2012-03,2011-06,2012-03,9
CS4292,2014-03-04,98,0,3,March,2014-03,2011-09,2014-03,30
CS3152,2014-12-15,40,0,12,December,2014-12,2011-11,2014-12,37
CS5640,2014-01-13,77,0,1,January,2014-01,2011-05,2014-01,32
CS5857,2012-09-26,85,0,9,September,2012-09,2011-05,2012-09,16
CS1472,2014-04-12,72,0,4,April,2014-04,2011-06,2014-04,34
CS3888,2012-02-22,70,0,2,February,2012-02,2011-12,2012-02,2
CS5563,2013-06-23,70,0,6,June,2013-06,2011-08,2013-06,22
CS5104,2012-09-17,99,0,9,September,2012-09,2011-08,2012-09,13
CS6109,2013-11-01,92,0,11,November,2013-11,2011-06,2013-11,29
CS2352,2014-10-06,62,1,10,October,2014-10,2011-07,2014-10,39
CS4024,2014-02-01,39,0,2,February,2014-02,2011-07,2014-02,31
CS1499,2011-12-24,91,0,12,December,2011-12,2011-08,2011-12,4
CS3071,2012-09-15,39,0,9,September,2012-09,2011-05,2012-09,16
CS5638,2014-12-16,58,0,12,December,2014-12,2011-07,2014-12,41
CS5533,2013-05-16,73,0,5,May,2013-05,2012-03,2013-05,14
CS1961,2012-03-29,75,0,3,March,2012-03,2011-07,2012-03,8
CS1707,2011-09-15,105,0,9,September,2011-09,2011-05,2011-09,4
CS3692,2014-09-17,48,0,9,September,2014-09,2011-05,2014-09,40
CS1275,2011-12-28,102,0,12,December,2011-12,2011-12,2011-12,0
CS4738,2013-03-20,37,0,3,March,2013-03,2011-06,2013-03,21
CS3732,2011-06-12,83,1,6,June,2011-06,2011-06,2011-06,0
CS5676,2013-12-16,44,0,12,December,2013-12,2011-05,2013-12,31
CS4111,2012-07-26,54,0,7,July,2012-07,2011-07,2012-07,12
CS2074,2015-01-05,79,0,1,January,2015-01,2011-08,2015-01,41
CS5815,2015-01-03,92,0,1,January,2015-01,2011-05,2015-01,44
CS5094,2015-03-07,84,0,3,March,2015-03,2012-01,2015-03,38
CS5431,2013-01-05,55,0,1,January,2013-01,2011-12,2013-01,13
CS4540,2014-08-13,55,1,8,August,2014-08,2011-08,2014-08,36
CS1891,2013-03-25,84,0,3,March,2013-03,2011-05,2013-03,22
CS4389,2013-03-22,70,1,3,March,2013-03,2011-05,2013-03,22
CS4412,2012-01-07,47,0,1,January,2012-01,2011-12,2012-01,1
CS1697,2014-07-13,98,0,7,July,2014-07,2011-08,2014-07,35
CS2720,2012-04-11,72,0,4,April,2012-04,2011-07,2012-04,9
CS1152,2012-08-04,71,0,8,August,2012-08,2011-09,2012-08,11
CS3796,2013-09-14,37,0,9,September,2013-09,2011-07,2013-09,26
CS6066,2013-08-23,66,0,8,August,2013-08,2011-08,2013-08,24
CS2643,2014-07-20,69,0,7,July,2014-07,2011-10,2014-07,33
CS6056,2014-03-22,104,0,3,March,2014-03,2011-05,2014-03,34
CS3489,2013-01-09,76,0,1,January,2013-01,2011-09,2013-01,16
CS5229,2011-11-23,58,0,11,November,2011-11,2011-11,2011-11,0
CS4649,2014-12-16,93,0,12,December,2014-12,2011-08,2014-12,40
CS4372,2014-08-27,71,0,8,August,2014-08,2011-11,2014-08,33
CS1790,2012-10-04,100,0,10,October,2012-10,2011-06,2012-10,16
CS1475,2012-08-20,73,0,8,August,2012-08,2011-05,2012-08,15
CS2452,2014-04-05,77,0,4,April,2014-04,2011-06,2014-04,34
CS2781,2011-06-02,51,0,6,June,2011-06,2011-06,2011-06,0
CS5260,2014-09-25,89,1,9,September,2014-09,2011-07,2014-09,38
CS5155,2011-12-25,100,0,12,December,2011-12,2011-06,2011-12,6
CS1582,2014-05-24,46,1,5,May,2014-05,2011-05,2014-05,36
CS4757,2011-08-19,81,0,8,August,2011-08,2011-08,2011-08,0
CS6039,2013-10-05,104,0,10,October,2013-10,2011-06,2013-10,28
CS1580,2012-11-18,87,1,11,November,2012-11,2011-07,2012-11,16
CS3815,2011-07-05,54,0,7,July,2011-07,2011-07,2011-07,0
CS6063,2013-04-13,104,0,4,April,2013-04,2011-06,2013-04,22
CS2226,2014-10-29,104,0,10,October,2014-10,2011-09,2014-10,37
CS5367,2015-01-08,77,1,1,January,2015-01,2011-08,2015-01,41
CS4581,2013-06-04,95,0,6,June,2013-06,2011-09,2013-06,21
CS5004,2014-12-21,59,0,12,December,2014-12,2011-06,2014-12,42
CS2164,2013-08-06,35,0,8,August,2013-08,2011-06,2013-08,26
CS4590,2014-05-31,79,0,5,May,2014-05,2011-07,2014-05,34
CS4600,2011-10-03,50,0,10,October,2011-10,2011-06,2011-10,4
CS2122,2012-02-20,90,0,2,February,2012-02,2011-10,2012-02,4
CS3060,2012-08-24,59,0,8,August,2012-08,2011-07,2012-08,13
CS2217,2013-04-19,85,0,4,April,2013-04,2011-07,2013-04,21
CS4288,2014-04-21,68,0,4,April,2014-04,2011-07,2014-04,33
CS1568,2013-05-10,104,0,5,May,2013-05,2011-05,2013-05,24
CS3442,2014-09-16,39,0,9,September,2014-09,2011-05,2014-09,40
CS4883,2013-12-24,39,0,12,December,2013-12,2011-07,2013-12,29
CS4911,2012-02-17,75,0,2,February,2012-02,2011-06,2012-02,8
CS1533,2012-07-25,86,0,7,July,2012-07,2011-09,2012-07,10
CS3103,2014-05-07,59,0,5,May,2014-05,2011-06,2014-05,35
CS2185,2012-01-29,46,0,1,January,2012-01,2011-07,2012-01,6
CS4094,2013-07-24,100,0,7,July,2013-07,2011-06,2013-07,25
CS4354,2012-12-29,62,1,12,December,2012-12,2011-10,2012-12,14
CS1939,2012-07-25,46,0,7,July,2012-07,2011-06,2012-07,13
CS5516,2012-12-04,75,0,12,December,2012-12,2011-07,2012-12,17
CS5664,2013-11-02,95,0,11,November,2013-11,2011-06,2013-11,29
CS5068,2014-11-07,41,0,11,November,2014-11,2011-06,2014-11,41
CS4376,2014-10-13,49,0,10,October,2014-10,2011-05,2014-10,41
CS5825,2011-10-22,61,0,10,October,2011-10,2011-06,2011-10,4
CS1871,2012-01-16,64,0,1,January,2012-01,2011-06,2012-01,7
CS5046,2015-02-06,86,1,2,February,2015-02,2011-06,2015-02,44
CS1259,2013-06-30,64,1,6,June,2013-06,2011-07,2013-06,23
CS5664,2011-09-11,58,0,9,September,2011-09,2011-06,2011-09,3
CS2986,2011-07-20,67,0,7,July,2011-07,2011-06,2011-07,1
CS5510,2013-09-02,99,0,9,September,2013-09,2011-08,2013-09,25
CS2845,2013-01-10,73,0,1,January,2013-01,2011-05,2013-01,20
CS4077,2012-07-22,90,0,7,July,2012-07,2011-05,2012-07,14
CS3466,2013-11-04,71,0,11,November,2013-11,2011-06,2013-11,29
CS1508,2013-10-25,101,0,10,October,2013-10,2011-10,2013-10,24
CS2469,2014-07-19,93,0,7,July,2014-07,2011-06,2014-07,37
CS2767,2015-01-03,105,0,1,January,2015-01,2011-07,2015-01,42
CS5790,2012-03-17,58,0,3,March,2012-03,2011-05,2012-03,10
CS1710,2013-06-10,100,0,6,June,2013-06,2011-07,2013-06,23
CS2554,2011-10-05,100,0,10,October,2011-10,2011-05,2011-10,5
CS5283,2015-02-05,63,0,2,February,2015-02,2012-02,2015-02,36
CS4050,2014-08-30,63,0,8,August,2014-08,2011-08,2014-08,36
CS5975,2012-09-08,77,0,9,September,2012-09,2011-06,2012-09,15
CS4227,2012-10-16,74,0,10,October,2012-10,2011-09,2012-10,13
CS5983,2011-05-20,47,0,5,May,2011-05,2011-05,2011-05,0
CS2490,2013-12-04,70,0,12,December,2013-12,2011-06,2013-12,30
CS1696,2012-12-25,51,1,12,December,2012-12,2011-11,2012-12,13
CS3209,2014-02-25,82,0,2,February,2014-02,2011-07,2014-02,31
CS2942,2013-01-08,62,0,1,January,2013-01,2011-08,2013-01,17
CS4981,2011-10-16,93,0,10,October,2011-10,2011-05,2011-10,5
CS1397,2014-03-26,77,0,3,March,2014-03,2011-06,2014-03,33
CS1903,2013-04-15,92,0,4,April,2013-04,2011-05,2013-04,23
